Locator Name,Locator Status,Locator Mode,Locator IP,Locator Sensitivity,timeLastGoodPacketTS,timeLastPacketTS
Z1-L06,ok,Track,192.168.123.194,-9,12362442.973388672,12362451.973388672
Z3-L07,ok,Track,192.168.123.234,-6,8078840.984619141,8078860.984619141
Z4-L08,ok,Track,192.168.123.154,-9,5116.989990234375,5122.989990234375
Z2-L08,ok,Track,192.168.123.213,-9,8038282.994140625,8038292.994140625
Z1-L13,ok,Track,192.168.123.218,-9,224956737.99804688,224956742.99804688
Z1-L05,ok,Track,192.168.123.152,-9,224972556.00195312,224972560.00195312
Z3-L09,ok,Track,192.168.123.173,-9,224982537.00634766,224982549.00634766
Z3-L10,ok,Track,192.168.123.242,-9,12362351.010253906,12349918.010253906
Z3-L06,ok,Track,192.168.123.236,-6,224990849.01513672,224990866.01513672
Z4-L07,ok,Track,192.168.123.178,-9,72.018798828125,78.018798828125
Z4-L03,ok,Track,192.168.123.225,-9,12351152.022705078,8108084.022705078
Z2-L01,ok,Track,192.168.123.247,-9,224984782.02685547,224984796.02685547
Z1-L12,ok,Track,192.168.123.209,-9,8035844.030517578,8035847.030517578
Z1-L04,ok,Track,192.168.123.176,-9,224962431.03393555,224962037.03393555
Z4-L05,ok,Track,192.168.123.235,-9,72.037841796875,78.037841796875
Z4-L04,ok,Track,192.168.123.239,-9,544588.0412597656,544589.0412597656
Z4-L01,ok,Track,192.168.123.186,-9,12367629.044921875,8110460.044921875
Z1-L03,ok,Track,192.168.123.163,-9,224926013.04858398,224926023.04858398
Z5-L03,ok,Track,192.168.123.198,-6,3472289.0522460938,3472294.0522460938
Z1-L07,ok,Track,192.168.123.181,-9,224940094.0559082,224940100.0559082
Z1-L08,ok,Track,192.168.123.189,-9,224978207.0595703,224978218.0595703
Z3-L03,ok,Track,192.168.123.167,-9,12466783.062988281,12466792.062988281
Z3-L04,ok,Track,192.168.123.212,-9,12360327.066894531,12360333.066894531
Z2-L03,ok,Track,192.168.123.196,-9,8089174.070800781,8089185.070800781
Z1-L11,ok,Track,192.168.123.184,-9,224934305.07421875,224934308.07421875
Z3-L02,ok,Track,192.168.123.161,-6,8054638.078125,8054640.078125
Z2-L06,ok,Track,192.168.123.245,-9,238240.08178710938,238248.08178710938
Z5-L02,ok,Track,192.168.123.244,-6,236600.08569335938,236609.08569335938
Z2-L07,ok,Track,192.168.123.229,-9,12450928.08959961,12449432.08959961
Z3-L11,ok,Track,192.168.123.201,-9,12361745.093017578,12361762.093017578
Z1-L10,ok,Track,192.168.123.246,-9,224963635.0966797,224963439.0966797
Z4-L02,ok,Track,192.168.123.240,-9,507300.1003417969,507306.1003417969
Z3-L01,ok,Track,192.168.123.228,-6,224954383.10375977,224954393.10375977
Z5-L01,ok,Track,192.168.123.248,-6,8096687.107666016,8081431.107666016
Z1-L09,ok,Track,192.168.123.191,-9,224930279.11132812,224930281.11132812
Z2-L09,ok,Track,192.168.123.221,-9,8096182.1162109375,8096193.1162109375
Z3-L05,ok,Track,192.168.123.224,-6,12325077.120117188,12325081.120117188
Z5-L04,ok,Track,192.168.123.226,-6,8061118.123779297,8056955.123779297
Z2-L02,ok,Track,192.168.123.215,-9,8071720.127441406,8071732.127441406
Z4-L09,ok,Track,192.168.123.168,-9,8071527.131103516,8071530.131103516
Z1-L14,ok,Track,192.168.123.227,-9,8035027.134521484,8035038.134521484
Z4-L11,ok,Track,192.168.123.185,-9,1827526.1381835938,442302.13818359375
Z2-L04,ok,Track,192.168.123.190,-9,3472288.141845703,1123345.1418457031
Z2-L05,ok,Track,192.168.123.217,-9,12364772.145263672,12363892.145263672
Z4-L06,ok,Track,192.168.123.249,-9,71.150146484375,78.150146484375
Z3-L12,ok,Track,192.168.123.238,-9,8072963.153808594,8072968.153808594
